 time            v(vout)        
 1.52280000e-03  1.27927047e-07 
 1.53280000e-03  1.28043885e-07 
 1.54280000e-03  1.28199297e-07 
 1.55280000e-03  1.28390766e-07 
 1.56280000e-03  1.28615409e-07 
 1.57280000e-03  1.28869624e-07 
 1.58280000e-03  1.29149541e-07 
 1.59280000e-03  1.29450682e-07 
 1.60280000e-03  1.29768430e-07 
 1.61280000e-03  1.30097698e-07 
 1.62280000e-03  1.30433407e-07 
 1.63280000e-03  1.30770168e-07 
 1.64280000e-03  1.31102765e-07 
 1.65280000e-03  1.31425836e-07 
 1.66280000e-03  1.31734359e-07 
 1.67280000e-03  1.32023337e-07 
 1.68280000e-03  1.32288270e-07 
 1.69280000e-03  1.32524837e-07 
 1.70280000e-03  1.32729363e-07 
 1.71280000e-03  1.32898477e-07 
 1.72280000e-03  1.33029572e-07 
 1.73280000e-03  1.33120448e-07 
 1.74280000e-03  1.33169745e-07 
 1.75280000e-03  1.33176570e-07 
 1.76280000e-03  1.33140908e-07 
 1.77280000e-03  1.33063228e-07 
 1.78280000e-03  1.32944867e-07 
 1.79280000e-03  1.32787617e-07 
 1.80280000e-03  1.32594086e-07 
 1.81280000e-03  1.32367263e-07 
 1.82280000e-03  1.32110863e-07 
 1.83280000e-03  1.31828866e-07 
 1.84280000e-03  1.31525856e-07 
 1.85280000e-03  1.31206540e-07 
 1.86280000e-03  1.30876078e-07 
 1.87280000e-03  1.30539596e-07 
 1.88280000e-03  1.30202504e-07 
 1.89280000e-03  1.29870013e-07 
 1.90280000e-03  1.29547451e-07 
 1.91280000e-03  1.29239779e-07 
 1.92280000e-03  1.28951916e-07 
 1.93280000e-03  1.28688265e-07 
 1.94280000e-03  1.28453040e-07 
 1.95280000e-03  1.28249809e-07 
 1.96280000e-03  1.28081834e-07 
 1.97280000e-03  1.27951628e-07 
 1.98280000e-03  1.27861314e-07 
 1.99280000e-03  1.27812193e-07 
 2.00280000e-03  1.27805128e-07 
 2.01280000e-03  1.27840127e-07 
 2.02280000e-03  1.27916747e-07 
 2.03280000e-03  1.28033698e-07 
 2.04280000e-03  1.28189264e-07 
 2.05280000e-03  1.28380925e-07 
 2.06280000e-03  1.28605800e-07 
 2.07280000e-03  1.28860284e-07 
 2.08280000e-03  1.29140508e-07 
 2.09280000e-03  1.29441991e-07 
 2.10280000e-03  1.29760115e-07 
 2.11280000e-03  1.30089792e-07 
 2.12280000e-03  1.30425942e-07 
 2.13280000e-03  1.30763173e-07 
 2.14280000e-03  1.31096267e-07 
 2.15280000e-03  1.31419861e-07 
 2.16280000e-03  1.31728932e-07 
 2.17280000e-03  1.32018478e-07 
 2.18280000e-03  1.32283999e-07 
 2.19280000e-03  1.32521172e-07 
 2.20280000e-03  1.32726317e-07 
 2.21280000e-03  1.32896063e-07 
 2.22280000e-03  1.33027800e-07 
 2.23280000e-03  1.33119324e-07 
 2.24280000e-03  1.33169274e-07 
 2.25280000e-03  1.33176753e-07 
 2.26280000e-03  1.33141746e-07 
 2.27280000e-03  1.33064716e-07 
 2.28280000e-03  1.32947000e-07 
 2.29280000e-03  1.32790386e-07 
 2.30280000e-03  1.32597481e-07 
 2.31280000e-03  1.32371270e-07 
 2.32280000e-03  1.32115465e-07 
 2.33280000e-03  1.31834046e-07 
 2.34280000e-03  1.31531592e-07 
 2.35280000e-03  1.31212811e-07 
 2.36280000e-03  1.30882858e-07 
 2.37280000e-03  1.30546858e-07 
 2.38280000e-03  1.30210220e-07 
 2.39280000e-03  1.29878152e-07 
 2.40280000e-03  1.29555981e-07 
 2.41280000e-03  1.29248666e-07 
 2.42280000e-03  1.28961126e-07 
 2.43280000e-03  1.28697760e-07 
 2.44280000e-03  1.28462783e-07 
 2.45280000e-03  1.28259762e-07 
 2.46280000e-03  1.28091958e-07 
 2.47280000e-03  1.27961884e-07 
 2.48280000e-03  1.27871660e-07 
 2.49280000e-03  1.27822589e-07 
 2.50280000e-03  1.27815532e-07 
 2.51280000e-03  1.27850499e-07 
 2.52280000e-03  1.27927047e-07 
 2.53280000e-03  1.28043885e-07 
 2.54280000e-03  1.28199297e-07 
 2.55280000e-03  1.28390766e-07 
 2.56280000e-03  1.28615409e-07 
 2.57280000e-03  1.28869624e-07 
 2.58280000e-03  1.29149541e-07 
 2.59280000e-03  1.29450683e-07 
 2.60280000e-03  1.29768430e-07 
 2.61280000e-03  1.30097698e-07 
 2.62280000e-03  1.30433407e-07 
 2.63280000e-03  1.30770168e-07 
 2.64280000e-03  1.31102765e-07 
 2.65280000e-03  1.31425836e-07 
 2.66280000e-03  1.31734359e-07 
 2.67280000e-03  1.32023337e-07 
 2.68280000e-03  1.32288270e-07 
 2.69280000e-03  1.32524837e-07 
