 1.00000000e+00  9.09275888e-01  4.47700625e-01 
 1.01157945e+00  9.09275884e-01  4.47700268e-01 
 1.02329299e+00  9.09275880e-01  4.47699903e-01 
 1.03514217e+00  9.09275877e-01  4.47699529e-01 
 1.04712855e+00  9.09275873e-01  4.47699147e-01 
 1.05925373e+00  9.09275868e-01  4.47698756e-01 
 1.07151931e+00  9.09275864e-01  4.47698355e-01 
 1.08392691e+00  9.09275860e-01  4.47697946e-01 
 1.09647820e+00  9.09275856e-01  4.47697526e-01 
 1.10917482e+00  9.09275851e-01  4.47697097e-01 
 1.12201845e+00  9.09275846e-01  4.47696658e-01 
 1.13501082e+00  9.09275842e-01  4.47696209e-01 
 1.14815362e+00  9.09275837e-01  4.47695749e-01 
 1.16144861e+00  9.09275832e-01  4.47695279e-01 
 1.17489755e+00  9.09275827e-01  4.47694798e-01 
 1.18850223e+00  9.09275822e-01  4.47694305e-01 
 1.20226443e+00  9.09275817e-01  4.47693801e-01 
 1.21618600e+00  9.09275811e-01  4.47693285e-01 
 1.23026877e+00  9.09275806e-01  4.47692757e-01 
 1.24451461e+00  9.09275800e-01  4.47692217e-01 
 1.25892541e+00  9.09275794e-01  4.47691665e-01 
 1.27350308e+00  9.09275788e-01  4.47691099e-01 
 1.28824955e+00  9.09275782e-01  4.47690520e-01 
 1.30316678e+00  9.09275776e-01  4.47689928e-01 
 1.31825674e+00  9.09275770e-01  4.47689322e-01 
 1.33352143e+00  9.09275763e-01  4.47688702e-01 
 1.34896288e+00  9.09275757e-01  4.47688068e-01 
 1.36458314e+00  9.09275750e-01  4.47687418e-01 
 1.38038426e+00  9.09275743e-01  4.47686754e-01 
 1.39636836e+00  9.09275736e-01  4.47686074e-01 
 1.41253754e+00  9.09275728e-01  4.47685378e-01 
 1.42889396e+00  9.09275721e-01  4.47684666e-01 
 1.44543977e+00  9.09275713e-01  4.47683938e-01 
 1.46217717e+00  9.09275705e-01  4.47683192e-01 
 1.47910839e+00  9.09275697e-01  4.47682430e-01 
 1.49623566e+00  9.09275689e-01  4.47681649e-01 
 1.51356125e+00  9.09275681e-01  4.47680850e-01 
 1.53108746e+00  9.09275672e-01  4.47680033e-01 
 1.54881662e+00  9.09275664e-01  4.47679196e-01 
 1.56675107e+00  9.09275655e-01  4.47678340e-01 
 1.58489319e+00  9.09275645e-01  4.47677465e-01 
 1.60324539e+00  9.09275636e-01  4.47676568e-01 
 1.62181010e+00  9.09275626e-01  4.47675651e-01 
 1.64058977e+00  9.09275617e-01  4.47674713e-01 
 1.65958691e+00  9.09275607e-01  4.47673753e-01 
 1.67880402e+00  9.09275596e-01  4.47672770e-01 
 1.69824365e+00  9.09275586e-01  4.47671764e-01 
 1.71790839e+00  9.09275575e-01  4.47670735e-01 
 1.73780083e+00  9.09275564e-01  4.47669682e-01 
 1.75792361e+00  9.09275553e-01  4.47668605e-01 
 1.77827941e+00  9.09275541e-01  4.47667502e-01 
 1.79887092e+00  9.09275529e-01  4.47666374e-01 
 1.81970086e+00  9.09275517e-01  4.47665220e-01 
 1.84077200e+00  9.09275505e-01  4.47664038e-01 
 1.86208714e+00  9.09275492e-01  4.47662830e-01 
 1.88364909e+00  9.09275479e-01  4.47661593e-01 
 1.90546072e+00  9.09275466e-01  4.47660327e-01 
 1.92752491e+00  9.09275452e-01  4.47659031e-01 
 1.94984460e+00  9.09275439e-01  4.47657706e-01 
 1.97242274e+00  9.09275424e-01  4.47656350e-01 
 1.99526231e+00  9.09275410e-01  4.47654962e-01 
 2.01836636e+00  9.09275395e-01  4.47653542e-01 
 2.04173794e+00  9.09275380e-01  4.47652088e-01 
 2.06538016e+00  9.09275364e-01  4.47650601e-01 
 2.08929613e+00  9.09275348e-01  4.47649080e-01 
 2.11348904e+00  9.09275332e-01  4.47647522e-01 
 2.13796209e+00  9.09275315e-01  4.47645929e-01 
 2.16271852e+00  9.09275298e-01  4.47644298e-01 
 2.18776162e+00  9.09275281e-01  4.47642630e-01 
 2.21309471e+00  9.09275263e-01  4.47640923e-01 
 2.23872114e+00  9.09275245e-01  4.47639176e-01 
 2.26464431e+00  9.09275226e-01  4.47637388e-01 
 2.29086765e+00  9.09275207e-01  4.47635559e-01 
 2.31739465e+00  9.09275187e-01  4.47633687e-01 
 2.34422882e+00  9.09275167e-01  4.47631771e-01 
 2.37137371e+00  9.09275146e-01  4.47629811e-01 
 2.39883292e+00  9.09275125e-01  4.47627805e-01 
 2.42661010e+00  9.09275104e-01  4.47625753e-01 
 2.45470892e+00  9.09275082e-01  4.47623653e-01 
 2.48313311e+00  9.09275060e-01  4.47621503e-01 
 2.51188643e+00  9.09275036e-01  4.47619304e-01 
 2.54097271e+00  9.09275013e-01  4.47617054e-01 
 2.57039578e+00  9.09274989e-01  4.47614751e-01 
 2.60015956e+00  9.09274964e-01  4.47612395e-01 
 2.63026799e+00  9.09274939e-01  4.47609984e-01 
 2.66072506e+00  9.09274913e-01  4.47607517e-01 
 2.69153480e+00  9.09274887e-01  4.47604992e-01 
 2.72270131e+00  9.09274860e-01  4.47602408e-01 
 2.75422870e+00  9.09274832e-01  4.47599765e-01 
 2.78612117e+00  9.09274804e-01  4.47597060e-01 
 2.81838293e+00  9.09274775e-01  4.47594292e-01 
 2.85101827e+00  9.09274745e-01  4.47591459e-01 
 2.88403150e+00  9.09274715e-01  4.47588561e-01 
 2.91742701e+00  9.09274684e-01  4.47585595e-01 
 2.95120923e+00  9.09274652e-01  4.47582560e-01 
 2.98538262e+00  9.09274619e-01  4.47579454e-01 
 3.01995172e+00  9.09274586e-01  4.47576277e-01 
 3.05492111e+00  9.09274552e-01  4.47573025e-01 
 3.09029543e+00  9.09274517e-01  4.47569697e-01 
 3.12607937e+00  9.09274481e-01  4.47566292e-01 
 3.16227766e+00  9.09274445e-01  4.47562808e-01 
 3.19889511e+00  9.09274408e-01  4.47559243e-01 
 3.23593657e+00  9.09274369e-01  4.47555595e-01 
 3.27340695e+00  9.09274330e-01  4.47551862e-01 
 3.31131121e+00  9.09274290e-01  4.47548042e-01 
 3.34965439e+00  9.09274250e-01  4.47544134e-01 
 3.38844156e+00  9.09274208e-01  4.47540134e-01 
 3.42767787e+00  9.09274165e-01  4.47536041e-01 
 3.46736850e+00  9.09274121e-01  4.47531853e-01 
 3.50751874e+00  9.09274076e-01  4.47527568e-01 
 3.54813389e+00  9.09274030e-01  4.47523183e-01 
 3.58921935e+00  9.09273983e-01  4.47518696e-01 
 3.63078055e+00  9.09273935e-01  4.47514104e-01 
 3.67282300e+00  9.09273886e-01  4.47509406e-01 
 3.71535229e+00  9.09273836e-01  4.47504599e-01 
 3.75837404e+00  9.09273784e-01  4.47499679e-01 
 3.80189396e+00  9.09273731e-01  4.47494645e-01 
 3.84591782e+00  9.09273678e-01  4.47489495e-01 
