 0.00000000e+00  9.00000000e-01  9.00000000e-01  1.72834283e+00  1.72836586e+00  1.72397431e+00 
 1.00000000e-08  9.00001571e-01  8.99998429e-01  1.72834142e+00  1.72836728e+00  1.72397431e+00 
 2.00000000e-08  9.00003142e-01  8.99996858e-01  1.72834000e+00  1.72836871e+00  1.72397431e+00 
 4.00000000e-08  9.00006283e-01  8.99993717e-01  1.72833716e+00  1.72837156e+00  1.72397431e+00 
 8.00000000e-08  9.00012566e-01  8.99987434e-01  1.72833148e+00  1.72837728e+00  1.72397431e+00 
 1.60000000e-07  9.00025133e-01  8.99974867e-01  1.72832011e+00  1.72838870e+00  1.72397431e+00 
 3.20000000e-07  9.00050265e-01  8.99949735e-01  1.72829738e+00  1.72841156e+00  1.72397430e+00 
 6.40000000e-07  9.00100531e-01  8.99899469e-01  1.72825191e+00  1.72845727e+00  1.72397429e+00 
 1.28000000e-06  9.00201060e-01  8.99798940e-01  1.72816099e+00  1.72854869e+00  1.72397422e+00 
 2.28000000e-06  9.00358129e-01  8.99641871e-01  1.72801892e+00  1.72869152e+00  1.72397403e+00 
 3.28000000e-06  9.00515185e-01  8.99484815e-01  1.72787686e+00  1.72883434e+00  1.72397373e+00 
 4.28000000e-06  9.00672220e-01  8.99327780e-01  1.72773483e+00  1.72897713e+00  1.72397333e+00 
 5.28000000e-06  9.00829228e-01  8.99170772e-01  1.72759282e+00  1.72911991e+00  1.72397282e+00 
 6.28000000e-06  9.00986204e-01  8.99013796e-01  1.72745084e+00  1.72926265e+00  1.72397220e+00 
 7.28000000e-06  9.01143141e-01  8.98856859e-01  1.72730890e+00  1.72940535e+00  1.72397148e+00 
 8.28000000e-06  9.01300033e-01  8.98699967e-01  1.72716700e+00  1.72954800e+00  1.72397065e+00 
 9.28000000e-06  9.01456873e-01  8.98543127e-01  1.72702516e+00  1.72969060e+00  1.72396972e+00 
 1.02800000e-05  9.01613656e-01  8.98386344e-01  1.72688337e+00  1.72983315e+00  1.72396868e+00 
 1.12800000e-05  9.01770375e-01  8.98229625e-01  1.72674165e+00  1.72997563e+00  1.72396753e+00 
 1.22800000e-05  9.01927025e-01  8.98072975e-01  1.72659999e+00  1.73011804e+00  1.72396628e+00 
 1.32800000e-05  9.02083598e-01  8.97916402e-01  1.72645841e+00  1.73026038e+00  1.72396493e+00 
 1.42800000e-05  9.02240089e-01  8.97759911e-01  1.72631691e+00  1.73040264e+00  1.72396346e+00 
 1.52800000e-05  9.02396491e-01  8.97603509e-01  1.72617550e+00  1.73054480e+00  1.72396190e+00 
 1.62800000e-05  9.02552799e-01  8.97447201e-01  1.72603418e+00  1.73068687e+00  1.72396022e+00 
 1.72800000e-05  9.02709006e-01  8.97290994e-01  1.72589296e+00  1.73082884e+00  1.72395845e+00 
 1.82800000e-05  9.02865107e-01  8.97134893e-01  1.72575185e+00  1.73097071e+00  1.72395656e+00 
 1.92800000e-05  9.03021094e-01  8.96978906e-01  1.72561084e+00  1.73111246e+00  1.72395458e+00 
 2.02800000e-05  9.03176961e-01  8.96823039e-01  1.72546996e+00  1.73125409e+00  1.72395249e+00 
 2.12800000e-05  9.03332704e-01  8.96667296e-01  1.72532920e+00  1.73139559e+00  1.72395029e+00 
 2.22800000e-05  9.03488315e-01  8.96511685e-01  1.72518857e+00  1.73153697e+00  1.72394799e+00 
 2.32800000e-05  9.03643788e-01  8.96356212e-01  1.72504808e+00  1.73167821e+00  1.72394559e+00 
 2.42800000e-05  9.03799117e-01  8.96200883e-01  1.72490773e+00  1.73181930e+00  1.72394308e+00 
 2.52800000e-05  9.03954296e-01  8.96045704e-01  1.72476752e+00  1.73196024e+00  1.72394047e+00 
 2.62800000e-05  9.04109320e-01  8.95890680e-01  1.72462747e+00  1.73210103e+00  1.72393776e+00 
 2.72800000e-05  9.04264180e-01  8.95735820e-01  1.72448759e+00  1.73224166e+00  1.72393494e+00 
 2.82800000e-05  9.04418873e-01  8.95581127e-01  1.72434786e+00  1.73238212e+00  1.72393202e+00 
 2.92800000e-05  9.04573391e-01  8.95426609e-01  1.72420831e+00  1.73252240e+00  1.72392900e+00 
 3.02800000e-05  9.04727729e-01  8.95272271e-01  1.72406894e+00  1.73266251e+00  1.72392587e+00 
 3.12800000e-05  9.04881880e-01  8.95118120e-01  1.72392976e+00  1.73280243e+00  1.72392264e+00 
 3.22800000e-05  9.05035838e-01  8.94964162e-01  1.72379076e+00  1.73294215e+00  1.72391931e+00 
 3.32800000e-05  9.05189597e-01  8.94810403e-01  1.72365196e+00  1.73308168e+00  1.72391588e+00 
 3.42800000e-05  9.05343152e-01  8.94656848e-01  1.72351336e+00  1.73322101e+00  1.72391235e+00 
 3.52800000e-05  9.05496496e-01  8.94503504e-01  1.72337497e+00  1.73336012e+00  1.72390872e+00 
 3.62800000e-05  9.05649622e-01  8.94350378e-01  1.72323680e+00  1.73349902e+00  1.72390498e+00 
 3.72800000e-05  9.05802526e-01  8.94197474e-01  1.72309884e+00  1.73363770e+00  1.72390114e+00 
 3.82800000e-05  9.05955200e-01  8.94044800e-01  1.72296111e+00  1.73377615e+00  1.72389721e+00 
 3.92800000e-05  9.06107640e-01  8.93892360e-01  1.72282361e+00  1.73391437e+00  1.72389317e+00 
 4.02800000e-05  9.06259838e-01  8.93740162e-01  1.72268635e+00  1.73405235e+00  1.72388903e+00 
 4.12800000e-05  9.06411789e-01  8.93588211e-01  1.72254933e+00  1.73419008e+00  1.72388479e+00 
 4.22800000e-05  9.06563487e-01  8.93436513e-01  1.72241256e+00  1.73432756e+00  1.72388046e+00 
 4.32800000e-05  9.06714926e-01  8.93285074e-01  1.72227605e+00  1.73446479e+00  1.72387602e+00 
 4.42800000e-05  9.06866100e-01  8.93133900e-01  1.72213980e+00  1.73460175e+00  1.72387148e+00 
 4.52800000e-05  9.07017003e-01  8.92982997e-01  1.72200381e+00  1.73473844e+00  1.72386685e+00 
 4.62800000e-05  9.07167629e-01  8.92832371e-01  1.72186810e+00  1.73487486e+00  1.72386212e+00 
 4.72800000e-05  9.07317971e-01  8.92682029e-01  1.72173266e+00  1.73501100e+00  1.72385728e+00 
 4.82800000e-05  9.07468025e-01  8.92531975e-01  1.72159751e+00  1.73514686e+00  1.72385235e+00 
 4.92800000e-05  9.07617784e-01  8.92382216e-01  1.72146265e+00  1.73528242e+00  1.72384733e+00 
 5.02800000e-05  9.07767243e-01  8.92232757e-01  1.72132808e+00  1.73541768e+00  1.72384220e+00 
 5.12800000e-05  9.07916394e-01  8.92083606e-01  1.72119381e+00  1.73555265e+00  1.72383698e+00 
 5.22800000e-05  9.08065233e-01  8.91934767e-01  1.72105985e+00  1.73568730e+00  1.72383166e+00 
 5.32800000e-05  9.08213754e-01  8.91786246e-01  1.72092620e+00  1.73582164e+00  1.72382625e+00 
 5.42800000e-05  9.08361951e-01  8.91638049e-01  1.72079287e+00  1.73595566e+00  1.72382074e+00 
 5.52800000e-05  9.08509817e-01  8.91490183e-01  1.72065986e+00  1.73608936e+00  1.72381513e+00 
 5.62800000e-05  9.08657347e-01  8.91342653e-01  1.72052718e+00  1.73622272e+00  1.72380943e+00 
 5.72800000e-05  9.08804536e-01  8.91195464e-01  1.72039483e+00  1.73635575e+00  1.72380363e+00 
 5.82800000e-05  9.08951377e-01  8.91048623e-01  1.72026283e+00  1.73648843e+00  1.72379774e+00 
 5.92800000e-05  9.09097865e-01  8.90902135e-01  1.72013117e+00  1.73662077e+00  1.72379175e+00 
 6.02800000e-05  9.09243993e-01  8.90756007e-01  1.71999986e+00  1.73675276e+00  1.72378567e+00 
 6.12800000e-05  9.09389757e-01  8.90610243e-01  1.71986890e+00  1.73688438e+00  1.72377949e+00 
 6.22800000e-05  9.09535150e-01  8.90464850e-01  1.71973831e+00  1.73701565e+00  1.72377322e+00 
 6.32800000e-05  9.09680166e-01  8.90319834e-01  1.71960808e+00  1.73714654e+00  1.72376686e+00 
 6.42800000e-05  9.09824800e-01  8.90175200e-01  1.71947823e+00  1.73727706e+00  1.72376040e+00 
 6.52800000e-05  9.09969047e-01  8.90030953e-01  1.71934875e+00  1.73740720e+00  1.72375386e+00 
 6.62800000e-05  9.10112900e-01  8.89887100e-01  1.71921965e+00  1.73753695e+00  1.72374722e+00 
 6.72800000e-05  9.10256353e-01  8.89743647e-01  1.71909095e+00  1.73766632e+00  1.72374049e+00 
 6.82800000e-05  9.10399402e-01  8.89600598e-01  1.71896263e+00  1.73779529e+00  1.72373366e+00 
 6.92800000e-05  9.10542040e-01  8.89457960e-01  1.71883472e+00  1.73792385e+00  1.72372675e+00 
 7.02800000e-05  9.10684262e-01  8.89315738e-01  1.71870721e+00  1.73805201e+00  1.72371974e+00 
 7.12800000e-05  9.10826062e-01  8.89173938e-01  1.71858011e+00  1.73817976e+00  1.72371265e+00 
 7.22800000e-05  9.10967435e-01  8.89032565e-01  1.71845342e+00  1.73830709e+00  1.72370546e+00 
 7.32800000e-05  9.11108375e-01  8.88891625e-01  1.71832715e+00  1.73843400e+00  1.72369819e+00 
 7.42800000e-05  9.11248876e-01  8.88751124e-01  1.71820130e+00  1.73856049e+00  1.72369082e+00 
 7.52800000e-05  9.11388933e-01  8.88611067e-01  1.71807589e+00  1.73868654e+00  1.72368337e+00 
 7.62800000e-05  9.11528541e-01  8.88471459e-01  1.71795091e+00  1.73881215e+00  1.72367583e+00 
 7.72800000e-05  9.11667693e-01  8.88332307e-01  1.71782636e+00  1.73893733e+00  1.72366820e+00 
 7.82800000e-05  9.11806385e-01  8.88193615e-01  1.71770227e+00  1.73906205e+00  1.72366048e+00 
